"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SACRAMENTO","067","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","35.84",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SOLANO","095","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","54.07",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","44.95",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","YOLO","113","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","49.72",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","FRESNO","019","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","45.17",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","KERN","029","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","56.38",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","KINGS","031","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","46.85",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","MADERA","039","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","45.86",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","MERCED","047","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","46.47",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","SAN JOAQUIN","077","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","43.67",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","STANISLAUS","099","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","48.24",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","TULARE","107","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","72.32",""
"SURVEY","2021","YEAR","","COUNTY","CALIFORNIA","06","SOUTHERN CALIFORNIA","80","IMPERIAL","025","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","23.85",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","","99","OTHER COUNTIES","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","59.16",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","56.12",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","BUTTE","007","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","44.4",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","51.21",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","GLENN","021","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","43.14",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SACRAMENTO","067","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","50.14",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SOLANO","095","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","51.34",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","SUTTER","101","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","47.19",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","YOLO","113","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","45.81",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","FRESNO","019","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","52.04",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","KERN","029","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","57.95",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","KINGS","031","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","51.99",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","MADERA","039","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","50.66",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","MERCED","047","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","46.59",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","SAN JOAQUIN","077","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","44.03",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","STANISLAUS","099","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","45.47",""
"SURVEY","2020","YEAR","","COUNTY","CALIFORNIA","06","SAN JOAQUIN VALLEY","51","TULARE","107","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","40.48",""
"SURVEY","2019","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","CONTRA COSTA","013","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","49.78",""
"SURVEY","2019","YEAR","","COUNTY","CALIFORNIA","06","CENTRAL COAST","40","OTHER (COMBINED) COUNTIES","","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","46.64",""
"SURVEY","2019","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","BUTTE","007","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","38.73",""
"SURVEY","2019","YEAR","","COUNTY","CALIFORNIA","06","SACRAMENTO VALLEY","50","COLUSA","011","","","00000000","","TOMATOES","TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE","TOTAL","NOT SPECIFIED","51.24",""
