County,year,month,temp,precip,yield,Data.Item
KINGS,2015,9,77.8,0.01,50.79,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KINGS,2016,9,75.7,0,54.74,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KINGS,2017,9,76.8,0.07,51.88,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KINGS,2018,9,75.9,0,59.93,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KINGS,2019,9,74.7,0,54.11,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KINGS,2020,9,78.6,0,51.99,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KINGS,2021,9,77,0,46.85,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KINGS,2022,9,79.6,0.08,54.22,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
KINGS,2023,9,74.1,0.01,53.99,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MADERA,2013,9,67.2,0.28,38.2,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MADERA,2014,9,70,0.47,50.67,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MADERA,2017,9,67.3,0.78,48.38,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MADERA,2020,9,70.8,0.02,50.66,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MADERA,2021,9,70.2,0.04,45.86,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MADERA,2022,9,72.5,0.74,43.32,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MADERA,2023,9,66,0.43,53.8,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2013,9,72.4,0.03,56.77,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2014,9,75.2,0.05,50.35,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2015,9,75.3,0.01,48.61,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2016,9,73.4,0,47.74,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2017,9,74.5,0.03,47.95,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2018,9,73.4,0,52.56,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2019,9,73.2,0.03,49.12,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2020,9,75.7,0,46.59,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2021,9,75.1,0.01,46.47,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2022,9,77.5,0.22,44.15,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MERCED,2023,9,71.4,0.03,46.53,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MONTEREY,2022,9,72.1,0.62,52.59,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
MONTEREY,2023,9,65.6,0.08,45.93,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SACRAMENTO,2013,9,71.8,0.59,39.5,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SACRAMENTO,2015,9,74.6,0.02,40.24,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SACRAMENTO,2016,9,72.9,0,46.81,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SACRAMENTO,2017,9,74.3,0.01,43.3,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SACRAMENTO,2018,9,72.4,0,48.2,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SACRAMENTO,2019,9,72.4,0.24,45.22,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SACRAMENTO,2020,9,76.7,0,50.14,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SACRAMENTO,2021,9,74.9,0.03,35.84,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SACRAMENTO,2022,9,77.2,0.46,33.61,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SACRAMENTO,2023,9,71.3,0.1,40.12,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN BENITO,2013,9,68.8,0.03,37.5,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN BENITO,2016,9,69.2,0,43.14,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN BENITO,2017,9,70.7,0.02,36.3,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN BENITO,2022,9,73.9,0.24,35,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN BENITO,2023,9,67,0.06,41.37,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2013,9,71.3,0.44,43.05,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2014,9,73.7,0.42,44.03,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2015,9,74.5,0.01,42.29,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2016,9,72.1,0,45.83,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2017,9,74.2,0.01,42.35,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2018,9,71.8,0,47.88,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2019,9,72.7,0.22,43.02,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2020,9,76.4,0,44.03,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2021,9,75,0.02,43.67,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2022,9,77.1,0.32,43.01,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SAN JOAQUIN,2023,9,71,0.04,44.96,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SANTA CLARA,2023,9,65.9,0.1,53.63,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2013,9,70.8,0.58,39.33,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2014,9,72,0.48,43.5,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2015,9,72.8,0.05,44.73,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2016,9,70.4,0,46.43,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2017,9,72.8,0.02,41.63,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2018,9,69.6,0,44.79,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2019,9,71.4,0.09,49.66,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2020,9,74.6,0,51.34,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2021,9,72.4,0.03,54.07,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2022,9,74.6,0.71,37.84,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SOLANO,2023,9,68.9,0.11,43.04,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2013,9,71,0.16,37.92,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2014,9,73.7,0.22,45.7,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2015,9,74.2,0.01,43.05,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2016,9,72.4,0,39.8,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2017,9,73.6,0.03,39.62,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2018,9,72.1,0,41.88,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2019,9,72.2,0.09,45.64,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2020,9,75.4,0,45.47,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2021,9,74.5,0.02,48.24,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2022,9,76.5,0.26,44.31,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
STANISLAUS,2023,9,70.5,0.06,48.39,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2013,9,72.4,0.77,38.71,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2014,9,75.4,0.45,44.2,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2015,9,75,0.04,44.92,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2016,9,74.3,0,47.9,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2017,9,76,0.01,38.19,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2018,9,73,0,42.5,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2019,9,73.3,0.34,40.77,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2020,9,77,0,47.19,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2021,9,76.5,0.06,44.95,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2022,9,77.6,1.27,39.04,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
SUTTER,2023,9,72.4,0.29,43.06,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
TEHAMA,2022,9,74.5,1.37,43.33,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
TEHAMA,2023,9,68.1,0.86,48.98,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
TULARE,2020,9,69.5,0,40.48,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
TULARE,2021,9,67.7,0.04,72.32,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
TULARE,2023,9,64,0.08,71.62,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2013,9,71.6,0.6,46.29,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2014,9,74,0.41,46.46,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2015,9,74,0.06,48.62,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2016,9,72.9,0,46.9,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2017,9,74,0.01,43.08,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2018,9,71.4,0.01,47.4,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2019,9,72.3,0.26,44.94,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2020,9,76,0,45.81,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2021,9,75,0.05,49.72,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2022,9,76.2,0.98,45.55,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YOLO,2023,9,70.7,0.09,49.76,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
YUBA,2023,9,69.7,0.61,46.83,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE"
