Program,Year,Period,Week.Ending,Geo.Level,State,State.ANSI,Ag.District,Ag.District.Code,County,County.ANSI,Zip.Code,Region,watershed_code,Watershed,Commodity,Data.Item,Domain,Domain.Category,Value,CV....
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,TEHAMA,103,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,43.33,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,45.55,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,FRESNO,19,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,47.28,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KERN,29,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,54.86,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KINGS,31,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,54.22,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MADERA,39,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,43.32,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,44.15,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,43.01,NA
SURVEY,2022,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,STANISLAUS,99,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,44.31,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,63.81,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,24.59,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,49.46,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,46.36,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,35.84,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,54.07,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,44.95,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,49.72,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,FRESNO,19,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,45.17,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KERN,29,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,56.38,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KINGS,31,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,46.85,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MADERA,39,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,45.86,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,46.47,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,43.67,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,STANISLAUS,99,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,48.24,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,TULARE,107,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,72.32,NA
SURVEY,2021,YEAR,NA,COUNTY,CALIFORNIA,6,SOUTHERN CALIFORNIA,80,IMPERIAL,25,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,23.85,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,56.12,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,44.4,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,51.21,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,43.14,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,50.14,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,51.34,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,47.19,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,45.81,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,FRESNO,19,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,52.04,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KERN,29,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,57.95,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KINGS,31,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,51.99,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MADERA,39,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,50.66,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,46.59,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,44.03,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,STANISLAUS,99,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,45.47,NA
SURVEY,2020,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,TULARE,107,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,40.48,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,49.78,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,38.73,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,51.24,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,42.76,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,45.22,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,49.66,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,40.77,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,44.94,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,FRESNO,19,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,51.5,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KERN,29,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,53.38,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,KINGS,31,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,54.11,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,MERCED,47,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,49.12,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,SAN JOAQUIN,77,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,43.02,NA
SURVEY,2019,YEAR,NA,COUNTY,CALIFORNIA,6,SAN JOAQUIN VALLEY,51,STANISLAUS,99,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,45.64,NA
SURVEY,2018,YEAR,NA,COUNTY,CALIFORNIA,6,CENTRAL COAST,40,CONTRA COSTA,13,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,48.03,NA
SURVEY,2018,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,BUTTE,7,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,52.15,NA
SURVEY,2018,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,COLUSA,11,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,48.93,NA
SURVEY,2018,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,GLENN,21,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,42.05,NA
SURVEY,2018,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SACRAMENTO,67,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,48.2,NA
SURVEY,2018,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SOLANO,95,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,44.79,NA
SURVEY,2018,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,SUTTER,101,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,42.5,NA
SURVEY,2018,YEAR,NA,COUNTY,CALIFORNIA,6,SACRAMENTO VALLEY,50,YOLO,113,NA,NA,0,NA,TOMATOES,"TOMATOES, IN THE OPEN, PROCESSING - YIELD, MEASURED IN TONS / ACRE",TOTAL,NOT SPECIFIED,47.4,NA
